이순,가을에는 이런 사람이 그립다,수평선이나 지평선 보다<br>더 깊고 아득한 눈빛으로<br>세상의 그리움 다 깨워서 보는 사람<br>다른 사람의 불행한 사랑에<br>유심히 귀 기울이는<br>그래서 함께 마음 쓰다듬어 주는<br>그런 착한 사람이 그립다.<br><br>젊은 날 눈부신 폭죽 같은 사랑이<br>저기 멀리서 단풍에 묻혀 지고 있는데<br>그 지는 자리의 사랑도<br>유년의 설빔처럼 때로 설레며<br>문득 문득 떠올릴 수 있는<br>그런 아름다운 사람이 그립다.<br><br>사랑했던 기억을 벌써 잊고<br>저만치 걸어가버린 사람이지만<br>두고 온 사람의<br>아연히 서있던 모습 기억했다가<br>가을 편지라도 띄울 줄 아는<br>그런 순한 사람이 그립다.<br><br>가진 거라곤 추억뿐이어서<br>병들어 창백한 세상에<br>황금빛으로 반짝이는 목걸이 대신<br>투명한 수채화 같은 시 한 편<br>위문엽서처럼 걸어줄 줄 아는<br>그런 고운 사람이 그립다.<br><br>이렇게 눈부시게 맑은 가을 날<br>그런 가을의 사람들을 만나기 위해<br>흐린 도시속으로<br>여행 갈 채비 차리는<br>그런 행복한 여유의 사람은 더욱 그립다.
문정희,가을 노트,<br><br><br>그대 떠나간 후<br>나의 가을은<br>조금만 건드려도<br>우수수 몸을 떨었다<br><br>못다한 말<br>못다한 노래<br>까아만 씨앗으로 가슴에 담고<br>우리의 사랑이 지고 있었으므로<br><br>머잖아<br>한잎 두잎 아픔은 사라지고<br>기억만 남아<br>벼 베고 난 빈 들녘<br>고즈넉한<br>볏단처럼 놓이리라<br><br>사랑한다는 것은<br>조용히 물이 드는 것<br>아무에게도 말 못하고<br>홀로 찬바람에 흔들리는 것이지<br><br>그리고 이 세상 끝날 때<br>가장 깊은 살속에<br>담아가는 것이지<br><br>그대 떠나간 후<br>나의 가을은<br>조금만 건드려도<br>우수수 옷을 벗었다<br>슬프고 앙상한 뼈만 남았다
이순,가을비 오는 날은,<br>자정이 되어 간신히 그치는 비<br>간신히 버리는 그리움<br>그동안 너무 많은 것을 버렸다.<br>허나 세월 지나 돌아보니<br>버린 것들 그토록 그리워짐은<br>내가 버린게 아니라<br>그들이 나를 저버린 것임을<br>마침내 깨닫는다.<br><br>가을비 오는 날은<br>꽃들도 떨고<br>꽃들 떠는 곁에서<br>나도 떨며 섰다.<br><br>자정 지나 다시 내리는 비<br>다시 불러들이는 그리움<br>이제 내 것인 것 하나 없는<br>이 허전한 지상에서<br>보이지 않는 별들 더듬으며<br>가을비 오는 창가에 서서<br>잠깬 채 서있을<br>내 마음 같을 사람<br>빗물 고이듯 고요히 불러본다.
이성선,가을 편지,<br>잎이 떨어지고 있습니다<br>원고지처럼 하늘이 한 칸씩<br>비어 가고 있습니다<br>그 빈 곳에 맑은 영혼의 잉크물로<br>편지를 써서<br>당신에게 보냅니다<br>사랑함으로 오히려<br>아무런 말 못하고 돌려보낸 어제<br>다시 이르려 해도<br>그르칠까 차마 또 말 못한 오늘<br>가슴에 고인 말을<br>이 깊은 시간<br>한 칸씩 비어 가는 하늘 백지에 적어<br>당신에게 전해 달라<br>나무에게 줍니다
박제영,가을에는,가을에는 잠시 여행을 떠날 일이다<br>그리 수선스러운 준비는 하지 말고<br>그리 가깝지도 그리 멀지도 않은 아무데라도<br>가을은 스스로 높고 푸른 하늘<br>가을은 비움으로써 그윽한 산<br>가을은 침묵하여 깊은 바다<br>우리 모두의 마음도 그러하길<br>가을엔 혼자서 여행을 떠날 일이다<br>그리하여 찬찬히 가을을 들여다 볼 일이다
최영미,가을에는,"<br>내가 그를 사랑한 것도 아닌데<br>미칠 듯 그리워질 때가 있다<br>바람의 손으로 가지런히 풀어놓은, 뭉게구름도 아니다<br>양떼구름도 새털구름도 아니다<br>아무 모양도 만들지 못하고 이리저리 찢어지는 구름을 보노라면<br>내가 그를 그리워한 것도 아닌데<br>그가 내 속에 들어온다<br>뭉게뭉게 피어나 양떼처럼 모여<br>새털처럼 가지런히 접히진 않더라도<br>유리창에 우연히 편집된 가을 하늘처럼<br>무작정 눈물이 날 때가 있다<br>가을에는, 오늘처럼 곱고 투명한 가을에는<br>이 세상에서 가장 슬픈 표정으로 문턱을 넘어와<br>엉금엉금, 그가 내 곁에 앉는다<br>그럴 때면 그만 허락하고 싶다<br>사랑이 아니라도, 그 곁에 키를 낮춰 눕고 싶다"
류정숙,가을 들길에서,가을 들길을 거닐면<br>낙일을 등에 지고 거닐면<br>외로움이 동행이다.<br>바람으로는 헹궈낼 수 없는<br>햇살로는 말려낼 수 없는<br>그리움이 동행이다.<br>외롭다는 건<br>동행인이 없음이 아니요<br>함께할 이를 찾고자 함이라.<br>누구와 함께할 것인가?<br>가을 들길을 걸어 보면<br>그리움으로 떠오른다.<br>홀로 거닒은<br>누구와 함께이기를 원하는지<br>누구를 그리워하는지<br>알기를 원함이라.
유안진,가을만이 안다,제 슬픔의 키만큼 다 자란 풀밭에<br>비가 내린다<br>나도 따라 울었다<br>이 완벽한 화음(和音)의 길로<br>가을이 오고 있다<br>열꽃 앓는 시인이 불러줘서 봄이 왔듯이<br>시인이 울어야 가을이 오는 줄을<br>가을만이 알 뿐이다<br>가을에는 귀뚜리가 제일가는 시인이다.
피천득,가을,"<br>호수가 파랄 때는<br>아주 파랗다<br>어이 저리도<br>저리도 파랄 수가<br>하늘이, 저 하늘이<br>가을이어라"
김현승,가을의 기도,<br>가을에는<br>기도하게 하소서<br>낙엽들이 지는 때를 기다려 내게 주신<br>겸허한 모국어로 나를 채우소서<br>가을에는<br>사랑하게 하소서<br>오직 한 사람을 택하게 하소서<br>가장 아름다운 열매를 위하여 이 비옥한<br>시간을 가꾸게 하소서<br>가을에는<br>호올로 있게 하소서<br>나의 영혼<br>굽이치는 바다와<br>백합의 골짜기를 지나<br>마른 나뭇가지 위에 다다른 까마귀같이
