title,author,content
가을에는 이런 사람이 그립다 , 이순 ,수평선이나 지평선 보다<br>더 깊고 아득한 눈빛으로<br>세상의 그리움 다 깨워서 보는 사람<br>다른 사람의 불행한 사랑에<br>유심히 귀 기울이는<br>그래서 함께 마음 쓰다듬어 주는<br>그런 착한 사람이 그립다.<br><br>젊은 날 눈부신 폭죽 같은 사랑이<br>저기 멀리서 단풍에 묻혀 지고 있는데<br>그 지는 자리의 사랑도<br>유년의 설빔처럼 때로 설레며<br>문득 문득 떠올릴 수 있는<br>그런 아름다운 사람이 그립다.<br><br>사랑했던 기억을 벌써 잊고<br>저만치 걸어가버린 사람이지만<br>두고 온 사람의<br>아연히 서있던 모습 기억했다가<br>가을 편지라도 띄울 줄 아는<br>그런 순한 사람이 그립다.<br><br>가진 거라곤 추억뿐이어서<br>병들어 창백한 세상에<br>황금빛으로 반짝이는 목걸이 대신<br>투명한 수채화 같은 시 한 편<br>위문엽서처럼 걸어줄 줄 아는<br>그런 고운 사람이 그립다.<br><br>이렇게 눈부시게 맑은 가을 날<br>그런 가을의 사람들을 만나기 위해<br>흐린 도시속으로<br>여행 갈 채비 차리는<br>그런 행복한 여유의 사람은 더욱 그립다.
가을 노트 , 문정희,<br><br><br>그대 떠나간 후<br>나의 가을은<br>조금만 건드려도<br>우수수 몸을 떨었다<br><br>못다한 말<br>못다한 노래<br>까아만 씨앗으로 가슴에 담고<br>우리의 사랑이 지고 있었으므로<br><br>머잖아<br>한잎 두잎 아픔은 사라지고<br>기억만 남아<br>벼 베고 난 빈 들녘<br>고즈넉한<br>볏단처럼 놓이리라<br><br>사랑한다는 것은<br>조용히 물이 드는 것<br>아무에게도 말 못하고<br>홀로 찬바람에 흔들리는 것이지<br><br>그리고 이 세상 끝날 때<br>가장 깊은 살속에<br>담아가는 것이지<br><br>그대 떠나간 후<br>나의 가을은<br>조금만 건드려도<br>우수수 옷을 벗었다<br>슬프고 앙상한 뼈만 남았다
가을비 오는 날은 , 이순 ,<br>자정이 되어 간신히 그치는 비<br>간신히 버리는 그리움<br>그동안 너무 많은 것을 버렸다.<br>허나 세월 지나 돌아보니<br>버린 것들 그토록 그리워짐은<br>내가 버린게 아니라<br>그들이 나를 저버린 것임을<br>마침내 깨닫는다.<br><br>가을비 오는 날은<br>꽃들도 떨고<br>꽃들 떠는 곁에서<br>나도 떨며 섰다.<br><br>자정 지나 다시 내리는 비<br>다시 불러들이는 그리움<br>이제 내 것인 것 하나 없는<br>이 허전한 지상에서<br>보이지 않는 별들 더듬으며<br>가을비 오는 창가에 서서<br>잠깬 채 서있을<br>내 마음 같을 사람<br>빗물 고이듯 고요히 불러본다.
가을 편지 , 이성선 ,<br>잎이 떨어지고 있습니다<br>원고지처럼 하늘이 한 칸씩<br>비어 가고 있습니다<br>그 빈 곳에 맑은 영혼의 잉크물로<br>편지를 써서<br>당신에게 보냅니다<br>사랑함으로 오히려<br>아무런 말 못하고 돌려보낸 어제<br>다시 이르려 해도<br>그르칠까 차마 또 말 못한 오늘<br>가슴에 고인 말을<br>이 깊은 시간<br>한 칸씩 비어 가는 하늘 백지에 적어<br>당신에게 전해 달라<br>나무에게 줍니다
가을에는 , 박제영 ,가을에는 잠시 여행을 떠날 일이다<br>그리 수선스러운 준비는 하지 말고<br>그리 가깝지도 그리 멀지도 않은 아무데라도<br>가을은 스스로 높고 푸른 하늘<br>가을은 비움으로써 그윽한 산<br>가을은 침묵하여 깊은 바다<br>우리 모두의 마음도 그러하길<br>가을엔 혼자서 여행을 떠날 일이다<br>그리하여 찬찬히 가을을 들여다 볼 일이다
가을에는 , 최영미 ,"<br>내가 그를 사랑한 것도 아닌데<br>미칠 듯 그리워질 때가 있다<br>바람의 손으로 가지런히 풀어놓은, 뭉게구름도 아니다<br>양떼구름도 새털구름도 아니다<br>아무 모양도 만들지 못하고 이리저리 찢어지는 구름을 보노라면<br>내가 그를 그리워한 것도 아닌데<br>그가 내 속에 들어온다<br>뭉게뭉게 피어나 양떼처럼 모여<br>새털처럼 가지런히 접히진 않더라도<br>유리창에 우연히 편집된 가을 하늘처럼<br>무작정 눈물이 날 때가 있다<br>가을에는, 오늘처럼 곱고 투명한 가을에는<br>이 세상에서 가장 슬픈 표정으로 문턱을 넘어와<br>엉금엉금, 그가 내 곁에 앉는다<br>그럴 때면 그만 허락하고 싶다<br>사랑이 아니라도, 그 곁에 키를 낮춰 눕고 싶다"
가을 들길에서 , 류정숙 ,가을 들길을 거닐면<br>낙일을 등에 지고 거닐면<br>외로움이 동행이다.<br>바람으로는 헹궈낼 수 없는<br>햇살로는 말려낼 수 없는<br>그리움이 동행이다.<br>외롭다는 건<br>동행인이 없음이 아니요<br>함께할 이를 찾고자 함이라.<br>누구와 함께할 것인가?<br>가을 들길을 걸어 보면<br>그리움으로 떠오른다.<br>홀로 거닒은<br>누구와 함께이기를 원하는지<br>누구를 그리워하는지<br>알기를 원함이라.
가을만이 안다 , 유안진 ,제 슬픔의 키만큼 다 자란 풀밭에<br>비가 내린다<br>나도 따라 울었다<br>이 완벽한 화음(和音)의 길로<br>가을이 오고 있다<br>열꽃 앓는 시인이 불러줘서 봄이 왔듯이<br>시인이 울어야 가을이 오는 줄을<br>가을만이 알 뿐이다<br>가을에는 귀뚜리가 제일가는 시인이다.
가을 , 피천득,"<br>호수가 파랄 때는<br>아주 파랗다<br>어이 저리도<br>저리도 파랄 수가<br>하늘이, 저 하늘이<br>가을이어라"
가을의 기도 , 김현승,<br>가을에는<br>기도하게 하소서<br>낙엽들이 지는 때를 기다려 내게 주신<br>겸허한 모국어로 나를 채우소서<br>가을에는<br>사랑하게 하소서<br>오직 한 사람을 택하게 하소서<br>가장 아름다운 열매를 위하여 이 비옥한<br>시간을 가꾸게 하소서<br>가을에는<br>호올로 있게 하소서<br>나의 영혼<br>굽이치는 바다와<br>백합의 골짜기를 지나<br>마른 나뭇가지 위에 다다른 까마귀같이
가을의 시 , 곽재구,<br>오후 내내<br>나룻배를 타고<br>강기슭을 따라 내려갔습니다<br>당신이 너무 좋아하는 칡꽃 송이들이<br>푸른 강기슭을 따라 한없이 피어 있었습니다<br>하늘이 젖은 꿈처럼 수면 위에 잠기고<br>수면 위에 내려온 칡꽃들이<br>수심(水深) 한가운데서<br>부끄러운 옷을 벗었습니다<br>바람이 불고<br>바람이 불어가고<br>지천으로 흩날리는 꽃향기 속에서<br>내 작은 나룻배는<br>그만 길을 잃고 맙니다.
가을 끝 , 나해철,<br>자정 넘어 든 잠자리에서<br>바라보는 창문에 나무 그림자가 서렸다<br>가을은 너무 깊어 이미 겨울인데<br>저 나무를 비추고 서 있는 등불은<br>얼마나 춥고 외로울까<br>갑자기 어려져서 철없이 하는 말을 듣고<br>옆에 누운 사람이 하는 말<br>그럼 나가서 그 등불이나 껴안아주구려<br>핀잔을 준다<br>그래 정말 막막한 이 밤 등불의 친구나 될까보다<br>괜스레 마음은 길 위에 있다<br><br>
가을 저녁의 시 , 김춘수 ,<br>누가 죽어가나보다<br>차마 다 감을 수 없는 눈<br>반만 뜬 채<br>이 저녁<br>누가 죽어가는가 보다.<br>살을 저미는 이세상 외롬 속에서<br>물 같이 흘러간 그 나날 속에서<br>오직 한 사람의 이름을 부르면서<br>애터지게 부르면서 살아온<br>그 누가 죽어가는가 보다.<br>풀과 나무 그리고 산과 언덕<br>온누리 위에 스며 번진<br>가을의 저 슬픈 눈을 보아라.<br>정녕코 오늘 저녁은<br>비길 수 없이 정한 목숨이 하나<br>어디로 물 같이 흘러가 버리는가 보다.
가을서정 , 신진호,<br>듬성듬성 하늘이 떨어져 내린<br>낯선 거리의 오후<br>쓸쓸해 보이는<br>사람들의 등 뒤에서<br>추억을 뽑아내니<br>나는<br>잡을 수 없는<br>풍선이 되어<br>어디론가 날아가고 있다.
가을날 , R. M. 릴케,"<br>주여, 때가 왔습니다 지난 여름은 참으로 위대했습니다<br>당신의 그림자를 해시계 위에 얹으시고<br>들녘엔 바람을 풀어 놓아 주소서<br>마지막 과실들을 익게 하시고<br>이틀만 더 남국의 햇볕을 주시어<br>그들을 완성시켜 마지막 단맛이<br>짙은 포도주 속에 스미게 하소서<br>지금 집이 없는 사람은 이제 집을 짓지 않습니다<br>지금 고독한 사람은 이 후로 오래<br>고독하게 살아 잠자지 않고, 읽고<br>그리고 긴 편지를 쓸 것입니다<br>낙엽이 흩날리는 날에는 가로수들 사이를<br>이리저리 불안스레 헤매일 것입니다"
가을 편지 , 고은,<br>가을엔 편지를 하겠어요<br>누구라도 그대가 되어 받아주세요<br>낙엽이 쌓이는 날<br>외로운 여자가 아름다워요<br>가을엔 편지를 하겠어요<br>누구라도 그대가 되어 받아주세요<br>낙엽이 흩어진 날<br>모르는 여자가 아름다워요<br>가을엔 편지를 하겠어요<br>모든 것을 헤매인 마음 보내드려요<br>낙엽이 사라진 날<br>헤매인 여자가 아름다워요<br>
가을 , 함민복,<br>당신 생각을 켜놓은 채 잠이 들었습니다.
가을 , 박진강,<br>낙엽이 물드는 계절<br>저 너머 산봉우리도 가을이 깊었구나<br>그대에게 보내는 편지는<br>내 마음을 담은 낙엽에다 쓰고<br>저녁 무렵에는 울타리 꽃을 줍는다<br>나뭇잎이 떨어지자<br>산봉우리는 더욱 여위고<br>이끼가 낀 바위가 세월의 풍상을 더하네<br>내가 보낸 낙엽 편지는<br>그대의 손에서 바스라지겠지<br>
가난한 이름에게 , 김남조 ,<br>이 넓은 세상에서<br>한 사람도 고독한 남자를 만나지 못해<br>나 쓰일모 없이 살다 갑니다<br>이 넓은 세상에서<br>한 사람도 고독한 여인을 만나지 못해<br>당신도 쓰일모 없이 살다 갑니까<br>검은 벽의<br>검은 꽃 그림자 같은<br>어두운 향료<br>고독 때문에<br>노상 술을 마시는 고독한 남자들과<br>이가 시린 한겨울 밤<br>고독 때문에<br>한껏 사랑을 생각하는<br>고독한 여인네와<br>이렇게들 모여 사는 멋진 세상에서<br>얼굴을 가리고<br>고독이 아쉬운 내가 돌아갑니다<br>불신과 가난<br>그중 특별하기론 역시 고독 때문에<br>어딘지를 서성이는<br>고독한 남자들과<br>허무와 이별<br>그중 특별하기론 역시 고독 때문에<br>때로 골똘히 죽음을 생각하는<br>고독한 여인네와<br>이렇게들 모여 사는 멋진 세상에서<br>머리를 수그리고<br>당신도 고독이 아쉬운 채 돌아갑니까<br>인간이라는 가난한 이름에<br>고독도 과해서 못 가진 이름에<br>울면서 눈감고<br>입술을 대는 밤<br>이 넓은 세상에서<br>한 사람도 고독한 남자를 만나지 못해<br>나는 쓰일모 없이 살다 갑니다
가난한 사랑노래 , 신경림 ,- 이웃의 한 젊은이를 위하여<br><br>가난하다고 해서 외로움을 모르겠는가<br>너와 헤어져 돌아오는<br>눈 쌓인 골목길에 새파랗게 달빛이 쏟아지는데.<br>가난하다고 해서 두려움이 없겠는가<br>두 점을 치는 소리<br>방범대원의 호각소리 메밀묵 사려 소리에<br>눈을 뜨면 멀리 육중한 기계 굴러가는 소리.<br>가난하다고 해서 그리움을 버렸겠는가<br>어머님 보고 싶소 수없이 뇌어보지만<br>집 뒤 감나무에 까치밥으로 하나 남았을<br>새빨간 감 바람소리도 그려보지만.<br>가난하다고 해서 사랑을 모르겠는가<br>내 볼에 와 닿던 네 입술의 뜨거움<br>사랑한다고 사랑한다고 속삭이던 네 숨결<br>돌아서는 내 등뒤에 터지던 네 울음.<br>가난하다고 해서 왜 모르겠는가<br>가난하기 때문에 이것들을<br>이 모든 것들을 버려야 한다는 것을.
가는 길 , 김소월,"<br>그립다<br>말을 할까<br>하니 그리워<br>그냥 갈까<br>그래도<br>다시 더 한 번......<br>저 산에도 까마귀, 들에 까마귀,<br>서산에는 해 진다고<br>지저귑니다<br>앞강물 뒷강물,<br>흐르는 물은<br>어서 따라오라고 따라가자고<br>흘러도 연달아 흐릅디다려<br>"
가슴속에 간직한 사람 하나 , 이성민 ,<br>흔들리는 마음을 붙잡으며 사는 것은<br>나의 비틀거림에 나보다 더 아파할<br>져버릴수 없는 마음을 기억하기 때문입니다<br>견딜수 없는 고통의 순간에도<br>절망하지 않으며 웃을수 있는 것은<br>가슴속에 간직한 사람 하나 있기 때문입니다<br>언제든 부끄럽지 않은 모습<br>아름답게 가꿔가며 살려고 하는 것은<br>그대 모습 기억속에<br>언제나 남아있기 때문입니다
가슴속 집 한 칸 , 김기연,"<br>새파란 오후에<br>새 한 마리 날아와 나무 위에 둥지를 틀 때,<br>내 가슴 한 귀퉁이에 그녀가 집을 지었다.<br>내 손으로는 지울 수도 허물 수도 없는<br>내 가슴속 집 한 칸-<br>그녀 떠난 후에도<br>내 손으로는 어쩌지 못하는 가슴속 집 한 칸<br>그녀에게도 내가 지어준 집 한 칸 거기에 그대로 있을까?"
가슴저린 추억 , 정우경,"<br>수많은 날을 그리워하면서도<br>그럴 듯한 이유 한 가지 없어<br>만나자는 말 한 마디 할 수 없었던<br>사람이 있었습니다<br>잊자고 몇 번이고 되뇌이면서도<br>촛불처럼 눈물로 어둔 밤을 지새는<br>풋사랑에 익어버린<br>사람이 있었습니다<br>그립다, 보고프다, 생각난다<br>그리워 몇 번이고 마음으로 불러보지만<br>훗날에 가슴시린 이별이 두려워<br>감히 만나자 말할 수 없는<br>사람이 있었습니다<br>오랜 시간 지나면 상처가 낫듯이<br>씻은 듯 잊어버리려 해도<br>세월이란 약조차<br>사랑병엔 잘 듣지 않는데<br>잊자, 묻자, 지우자<br>몇 번이고 마음으로 다짐하지만<br>아려오는 상처만 더욱 커질 뿐<br>짧은 시간 한 번도 잊을 수 없는<br>그런 사람이 내게도 있었습니다."
